Metabolite,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,HFD1,HFD2,HFD3,HFD4,HFD5,HFD6,HFD7,HFD8
Lys-phe,0.029417104,0.040276106,0.038169386,0.030987822,0.070841805,0.032320371,0.026318566,0.06931175,0.049379908,0.046252194,0.037111753,0.047837033,0.047785941,0.04040376,0.045780895,0.03400693
"LysoPC(18:3(9Z,12Z,15Z))",1.392826388,0.369078239,0.185525167,1.041339118,0.117095967,0.87884687,1.073587309,0.446085053,0.218570065,1.078213532,0.98472163,1.283442553,0.667758904,0.363799022,1.623755519,0.860536195
"LysoPC(22:4(7Z,10Z,13Z,16Z))",1.554459123,0.313447984,0.182389373,0.78463991,0.242060945,1.113645553,0.75136643,1.759877531,0.354464956,2.033167047,0.932779467,1.283931971,1.351154325,0.539728007,2.391219792,0.872312592
"LysoPC(22:5(7Z,10Z,13Z,16Z,19Z))",4.565808477,1.018804264,0.148899871,3.099638084,0.377520621,4.961497821,2.501603352,6.85959548,0.931362199,13.30031382,4.251119965,5.310323026,7.386728944,2.249867852,12.40272102,3.022193933
Lysylvaline,13.61347162,12.0022992,22.77427614,19.98756378,6.638477356,6.30686988,7.47199389,5.316194959,2.71086801,2.290279386,6.593869695,5.482195688,2.574807827,2.026057005,3.308780793,6.217883578
MYRISTOYL-GLY-OH,3.653044133,3.127082414,2.874940143,3.195909,2.60821939,2.891283866,3.50604101,4.118385429,3.838742198,4.34681458,2.771705431,2.788317739,2.486296834,4.035339159,5.128506581,3.468796696
Maculosin,0.158505399,0.146470151,0.143648366,0.149059589,0.124048674,0.127844168,0.194809646,0.24431033,0.064657113,0.050976763,0.170152361,0.087950345,0.104783594,0.035390158,0.089677582,0.113946761
Marimastat,1.864616335,1.203285112,1.473899772,1.443091271,0.707379376,1.194489337,1.636445117,1.945688315,0.789234817,2.05020011,1.233391929,1.571897882,1.370616329,0.550140887,0.970658274,0.898003256
Massoia lactone,0.285780695,0.063954672,0.577493115,0.100786345,0.358613235,0.209743867,0.544438859,0.324915406,0.344868355,0.059694323,0.203361059,0.421268192,0.090316425,0.099887375,0.670696351,0.2148782
Medroxyprogesterone 17-acetate,2.0976191,2.340956274,3.21001906,3.77100319,2.473697823,2.690305348,3.565468296,2.668639309,1.84276949,1.862332875,1.411691839,1.641985995,1.882836458,2.138177918,2.063718093,1.705332854
Meglutol,10.25309809,26.7135785,10.54163596,8.836060822,5.861774267,9.59670266,7.297359067,8.365985209,52.91205898,7.031731231,10.47246812,86.74821894,3.733325129,3.792749476,8.537513993,5.562502079
Melatonin,0.032097997,0.056242334,0.037430075,0.060994568,0.029276655,0.048090663,0.031474089,0.039752014,0.030240821,0.037074341,0.035911344,0.069108885,0.156983254,0.236723597,0.09659644,0.032831717
Mepindolol,0.034917958,0.060537314,0.035825477,0.035443596,0.029642367,0.031400502,0.031829851,0.044040652,0.026249512,0.037285299,0.039688007,0.044641872,0.027447467,0.035903442,0.065059403,0.031889076
Mesalazine,6.291437632,5.426443155,6.130188521,5.012009536,4.602651925,2.832527399,1.560628904,3.610697514,3.634988612,6.349026332,1.815748306,6.409426919,3.349647112,3.999620585,9.852427497,6.433588664
Metabutethamine,0.063247901,0.168410086,0.15822796,0.073709304,0.076933301,0.125673622,0.06197114,0.121117628,0.12589887,0.153205495,0.188054292,0.131361779,0.168693707,0.149815317,0.305755392,0.139151704
Methandriol dipropionate,4.258742827,4.843713393,2.59699032,3.205936837,3.34741016,5.820462019,3.877382705,7.722994034,4.004744209,6.205224222,2.924387414,3.425841471,4.481012982,4.295187622,13.1876368,4.888449145
Methionylleucine,1.387144585,0.635656036,0.951862166,1.053159896,0.576674245,0.910742719,1.236964546,1.56123743,0.461096424,0.747049329,0.87309715,0.916831169,0.64967393,0.242373449,0.444262026,0.608961311
Methoxamine,0.246037811,0.325871054,0.108561262,0.287997955,0.050194299,0.251897006,0.257823401,0.041113645,0.303250295,0.448676668,0.124860811,0.246279017,0.123258662,0.194163345,0.050423872,0.328444633
Methoxyindoleacetic acid,0.14921693,0.631413817,0.039588654,0.043558486,0.150587829,0.231987336,0.311856631,0.380071113,0.907771458,0.241479791,0.148565056,4.617545953,8.548360799,9.249557957,2.206542261,2.923209507
"Methyl 1,4a-dimethyl-6-methylene-5-[2-(2-oxo-2,5-dihydro-3-furanyl)ethyl]decahydro-1-naphthalenecarboxylate",1.2722552,0.879662842,2.17966795,0.804599391,2.156816961,1.948188806,1.636457245,0.979851505,1.045032868,1.285411258,0.740301489,1.413683274,0.829648276,1.193498057,0.875528276,0.727746572
"Methyl 14-acetoxy-5-hydroxy-5,9-dimethyltetracyclo[11.2.1.0~1,10~.0~4,9~]hexadecane-14-carboxylate",13.0435963,27.83720697,14.16031355,7.562358252,13.32892525,12.30494945,7.473456399,15.69336382,4.554997568,5.646924249,3.68800684,4.787148179,4.411139994,5.707270329,15.43954301,5.511182217
Methyl 2-[(10Z)-10-heptadecen-1-yl]-6-hydroxybenzoate,3.588444556,4.583138373,1.558353559,2.981652895,3.954034162,4.714520188,3.767045789,4.701637411,2.699914085,3.911267428,1.494946962,3.71154079,3.830602815,4.037579207,4.915878419,4.076784182
"Methyl 3-isobutyryl-4-methyl-1,5-bis(3-methyl-2-buten-1-yl)-4-(4-methyl-3-penten-1-yl)-2-oxocyclohexanecarboxylate",2.631977648,3.676790848,1.521739645,1.944831107,2.792263424,4.138450512,2.855892304,4.632119869,2.716857427,4.004938754,1.932866042,6.622656642,4.200836686,2.479658146,6.922156363,4.980913954
Methyl nigakinone,0.031945961,0.036382659,0.025374204,0.027404302,0.039168961,0.023535988,0.031107329,0.037991652,0.032795551,0.060180201,0.030707445,0.024610311,0.031584972,0.030960542,0.043963561,0.031594686
Methyldopa,0.29674523,0.384086033,0.424715053,0.306219363,0.435732919,0.236993306,0.376089456,0.31211708,0.140802714,0.358122503,0.175695509,0.39150458,0.497041345,0.346973547,0.419670818,0.219717746
Methylenediurea,2.743755453,4.414078829,2.657661276,2.182969451,5.970560061,12.06920152,11.87845465,10.72921407,12.68040201,10.57263308,6.056189199,7.771820154,11.43126937,154.3206811,56.82993968,37.11280529
Methylimidazoleacetic acid,146.9927319,94.63313515,194.1905832,127.5266989,145.7005333,108.49111,180.3042162,159.0714793,142.8273193,184.8804234,149.0801021,137.0086931,127.7852856,160.4789731,120.9356311,125.2035422
Methylphenidate,0.038531735,0.046303804,0.029749565,0.036881046,0.037639379,0.036267721,0.03308317,0.038213272,0.057844654,0.038115575,0.112868093,0.034060715,0.031330699,0.033795728,0.052173417,0.03617699
Methylphenobarbital,0.538959251,0.187559954,0.23698438,0.179307882,0.168155975,0.257537696,0.28749926,0.698253842,0.480653433,0.49679389,0.576624821,0.502147194,0.587590231,0.349973031,0.801874246,0.374840333
Methysergide,1.765616827,2.012621451,2.268386642,2.017904218,0.889704912,1.075459551,1.361438972,1.313700866,0.509317033,0.675955505,0.84705666,1.614064198,1.529895175,0.794567503,1.524043661,1.569402171
Metirosine,0.164832997,0.108642332,0.286707844,0.116357589,0.282025146,0.037743698,0.03587107,0.395445578,0.037114213,0.363556112,0.051033396,0.040157198,0.04070619,0.350616692,0.410624125,0.261566467
Metoprolol,0.052109463,0.116751011,0.052662305,0.166132273,0.139354462,0.119699996,0.088256478,0.071625723,0.094497468,0.157579299,0.073079542,0.101201342,0.131116093,0.157112447,0.186632495,0.096733291
Metronidazole,1.14837882,0.522263533,0.321846871,0.305297174,0.401480954,1.335844664,0.228630216,0.500713876,0.350406508,0.409813768,0.226187176,0.745226294,0.312301677,0.756701903,0.219957708,0.225637092
