Metabolite,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,HFD1,HFD2,HFD3,HFD4,HFD5,HFD6,HFD7,HFD8
(2E)-3-Methyl-4-(sulfooxy)-2-butenoic acid,7.204257196,7.817744245,8.035264075,10.12313453,3.286518234,4.855070822,2.90797447,11.44025742,5.257153907,14.3368539,8.24768743,6.978570193,6.579559882,4.455866808,19.52088752,5.426255522
"(2E,4Z)-2-hydroxy-6-oxonona-2,4-dienedioic acid",0.184174551,0.144347324,0.227114387,0.199857684,0.133906083,0.136247646,0.176755652,0.165252903,1.185615054,0.659670568,0.241876841,0.398130716,0.231963231,1.362823827,0.222011031,0.146613819
(2R)-1-(Octanoyloxy)-3-(phosphonooxy)-2-propanyl decanoate,0.169370963,0.216193746,0.190691523,0.210868466,0.229049676,0.156128626,0.175822162,0.174184592,0.162207843,0.19474809,0.21822349,0.174435973,0.198780857,0.191905032,0.210509113,0.17212901
(2R)-3-{[(2-Aminoethoxy)(hydroxy)phosphoryl]oxy}-2-hydroxypropyl (11Z)-11-icosenoate,5.66451011,4.368443726,2.493192048,3.811835972,3.51910758,3.313034036,2.746271084,5.492185434,5.729713857,2.518267763,3.431195366,5.328311732,2.947919111,2.943963746,14.39244607,1.370179737
(2R)-3-{[(2-Aminoethoxy)(hydroxy)phosphoryl]oxy}-2-hydroxypropyl laurate,1.707890744,1.593526089,0.811971929,1.411980309,2.310870062,2.409289859,2.066632826,2.158931749,2.121362046,2.991458307,1.750639128,2.474420642,1.884664513,1.393776394,1.629696287,1.902539498
(2R)-3-{[(2-Aminoethoxy)(hydroxy)phosphoryl]oxy}-2-hydroxypropyl pentadecanoate,18.51454342,16.09433972,47.36994357,20.22853706,9.333552175,29.2823599,23.63921849,45.11662085,35.31316845,19.61924267,24.25527113,39.92063157,19.62342142,22.93758994,53.61643702,18.43588803
"(2R,4aR,6bS,12aS)-1-Hydroxy-1,2,6b,9,9,12a-hexamethyl-10,13-dioxo-1,3,4,5,6,6a,6b,7,8,8a,9,10,11,12,12a,12b,13,14b-octadecahydro-4a(2H)-picenecarboxylic acid",0.687777214,0.69209761,2.272946852,0.542325929,0.312226029,0.243734696,0.430460195,0.827877985,3.305813011,0.246562861,0.962814633,0.202104758,0.137497443,0.774882492,0.436105102,0.459434795
"(2S)-1-O-(7Z,10Z)-hexadecadienoyl-2-O-linoleoyl-3-O-β-D-galactopyranosyl-sn-glycerol",7.993729406,15.6296681,12.5954373,12.88105235,14.01427771,8.973805134,9.59175296,15.37082055,19.86209697,9.140089451,29.81438365,13.06113324,4.583071141,6.338431167,6.509579642,4.478311607
"(2S)-2,3-Dihydroxypropyl pentadecanoate",2.482370165,2.989045516,1.549364782,2.623059237,3.59265937,2.048530096,1.594271739,1.438396462,2.066162486,1.602311825,2.288519084,2.111387666,2.036445538,1.786963764,1.988169599,1.892378464
(2S)-2-Amino-8-hydroxyoctanoic acid,0.109582925,0.118957773,0.121415324,0.116767703,0.091585032,0.122640145,0.1231702,0.131480313,0.088919075,0.100535041,0.122572206,0.101132436,0.090551919,0.105117171,0.13418265,0.104921322
"(2S)-2-Hydroxy-2-[(1R,2E,4R)-4-hydroxy-4,8-dimethyl-2,7-cyclodecadien-1-yl]propyl acetate",0.327935709,0.329787395,0.282922823,0.283147356,0.277710832,0.376841093,0.390023797,0.486996497,0.288238169,0.417432925,0.391297739,0.401076145,0.280642348,0.405251099,0.485370273,0.316095561
"(2S)-2-Hydroxy-N-{(4S,4aS,8S,8aR)-6-[(2S)-3-hydroxy-2-methoxypropyl]-8-methoxy-7,7-dimethylhexahydropyrano[3,2-d][1,3]dioxin-4-yl}-2-[(2R,5R,6R)-2-methoxy-5,6-dimethyl-4-methylenetetrahydro-2H-pyran-2-yl]acetamide",1.239308123,0.464318429,0.256953384,0.81946878,0.662743294,1.659220469,0.152491355,1.781775386,1.146706463,1.014232696,1.541822043,4.589292565,1.288380252,1.464251623,1.308028783,1.571843758
"(2S)-3-Hydroxy-1,2-propanediyl dibutanoate",0.293984184,0.802311521,1.555505679,1.668508472,1.851722527,0.817136761,0.737775477,0.14623091,1.116807726,0.177394951,1.104587929,0.11988237,0.116083,0.926133535,0.771722849,0.216789374
"(2S)-3-{[2-O-(α-D-Glucopyranosyl)-α-D-glucopyranosyl]oxy}-1,2-propanediyl dihexadecanoate",0.074269485,0.104415623,0.081118983,0.090747445,0.247913253,0.067211286,0.075447949,0.08684389,0.065382627,0.07612994,0.090832741,0.079655335,0.073035507,0.097825302,0.105550554,0.078108087
"(2S,3S)-2,3-dihydro-3-hydroxyanthranilic acid zwitterion",1.032196021,0.796926985,1.547178004,1.513546705,1.617663724,1.867934869,1.269623993,1.297181603,0.52179236,0.897173881,0.773164313,0.987213786,0.670916171,0.552712226,0.432206688,0.74360826
"(2S,4S)-4-Amino-2-hydroxy-2-methylpentanedioic acid",0.979607016,0.785398654,1.008762381,2.580857027,1.167787286,2.095383287,0.991021056,1.342834693,0.721427019,1.030977996,1.42431208,1.457703959,1.09243691,1.255053125,1.520531903,2.237676042
(2Z)-2-[(Sulfooxy)methyl]-2-butenoic acid,12.24683803,13.53023539,11.10213048,8.765271013,10.89672522,12.8184519,8.392851381,39.02811667,22.6486986,65.17886228,22.32791714,46.29738219,29.04609504,19.13734913,70.30380657,35.88952888
(3E)-3-Methyl-2-oxo-4-phenyl-3-buten-1-yl hydrogen sulfate,0.096050161,0.1244128,0.119733712,0.111024467,0.105205198,0.083838116,0.101812366,0.10334987,0.081831304,0.096780198,0.116602129,0.09373807,0.095203657,0.123831155,0.116767989,0.099550587
"(3E)-4-[(2R,4S)-2,4-Dihydroxy-2,6,6-trimethylcyclohexyl]-3-buten-2-one",2.085094978,0.58131976,1.885213051,0.957112225,1.258903498,1.908977665,2.965923295,1.037371615,0.945116874,2.294297712,0.979118778,2.489269537,0.923060203,0.982101424,1.512810336,1.220027016
"(3E,5S,6S,7S,9R,11E,13E,15R,16R)-16-Ethyl-15-(hydroxymethyl)-5,7,9-trimethyl-2,10-dioxooxacyclohexadeca-3,11,13-trien-6-yl 3,4,6-trideoxy-3-(dimethylamino)-β-D-xylo-hexopyranoside",0.380637602,0.456746861,0.363047379,0.555329689,0.354492311,0.337793643,0.771398334,0.713852816,0.318050179,0.373389078,0.471141879,0.905126592,0.913920722,0.430195023,0.798092118,0.551989052
"(3R,4S,9R,11R)-29-(4-Hydroxyphenyl)-4-methyl-3,9,11-nonacosanetriol",15.59172872,22.1368527,15.19621568,23.14356994,14.29261971,12.6456657,24.53231577,15.4284502,16.19608523,18.34901213,37.18024084,21.38515457,11.92586233,27.60167238,19.44406127,10.11980061
"(3S,6S)-3-(Hydroxymethyl)-6-{4-[(3-methyl-2-buten-1-yl)oxy]benzyl}-2,5-piperazinedione",1.076680301,1.185315529,0.912780804,1.189507485,2.572444368,3.846787909,3.448880687,1.787650797,2.378545722,3.251681631,1.394909703,1.189385378,1.502637095,1.686537484,0.844149087,1.226379905
"(3Z,7Z)-1,5,5,8-Tetramethyl-12-thiabicyclo[9.1.0]dodeca-3,7-diene",0.627066581,0.606217641,0.298673845,0.736655237,0.724974855,0.464211772,0.366913759,0.230567748,0.545481867,0.604303534,0.48103908,0.646479744,0.506488105,0.346359579,0.517286095,1
"(3aR,4R,5R,6aS)-5-Hydroxy-4-[(1E,3S)-3-hydroxyoct-1-en-1-yl]hexahydro-2H-cyclopenta[b]furan-2-one",0.459532938,0.55060598,0.590249963,0.412677461,0.483341977,0.350283594,0.397707925,0.42668297,0.37066907,0.482742663,0.510241509,0.648094372,0.515346329,0.510754219,0.692587857,0.626435886
"(3s,6R,7S)-6,7-Dihydroxy-8-methyl-8-azabicyclo[3.2.1]oct-3-yl (2E)-2-methyl-2-butenoate",0.106622785,0.115211137,0.102875799,0.108843289,1.140093679,0.12079883,0.091257512,0.320546728,0.649435095,1.081945227,0.210214634,0.406169469,1.656756266,0.677753326,0.139453002,0.206933955
"(3α,5α,17β)-17-Hydroxyandrostan-3-yl β-D-glucopyranuronate",0.410009278,0.205440314,0.192419224,0.156284475,1.474817661,0.365252008,0.557303555,0.958226169,0.460639142,0.382090048,0.24900036,1.698921141,4.01932367,1.613763072,4.63818579,3.999965432
"(3α,5β,12α,17ξ)-12,24-Dihydroxy-24-oxocholan-3-yl D-glucopyranosiduronic acid",0.701250245,0.814773761,0.362473137,0.797298334,0.73938412,0.891822619,0.933440115,1.026535315,0.703956118,0.974851464,0.898724381,1.005721448,0.738478906,0.869537461,0.977536805,0.804379865
"(3α,5β,17ξ,20S)-3-Hydroxy-7-oxocholan-24-oic acid",532.5442669,741.509283,303.7216868,257.9414325,843.7161583,638.6257189,577.2195435,664.7467407,399.1495333,639.7434668,497.9002621,469.6558834,620.3265183,612.3286447,590.2648262,509.2933816
"(3β,5ξ,9ξ)-3,23-Dihydroxy-1-oxoolean-12-en-28-oic acid",2.337939516,2.73682087,2.977217502,3.051268605,1.691702317,0.80210567,1.370857494,1.42767837,1.649983185,1.207011352,3.809052185,1.443489351,1.640251531,1.657439057,1.186272007,11.32143856
"(3β,9β,16β,23R,24R)-3,24,25-Trihydroxy-16,23-epoxy-9,19-cyclolanostan-15-one",3.396437259,0.296172098,0.316714826,5.695776157,4.841173695,3.85699938,4.226222455,0.236150071,3.899183377,0.506838811,3.997906175,0.551083997,3.825648104,3.873083368,5.059395285,0.600430218
"(4E,6E)-1-(4-hydroxyphenyl)-7-phenylhepta-4,6-dien-3-one",0.408311374,0.617549861,0.42708332,0.396657846,0.668071899,0.471582947,0.43102262,0.450690933,0.375088881,0.475393863,0.501118911,0.668017336,0.559505642,0.475422218,0.795331769,0.670201869
"(4E,9R,11R)-9,11-Dihydroxy-29-(4-hydroxyphenyl)-4-methyl-4-nonacosen-3-one",2.091091443,8.551632516,5.928520149,10.92996824,4.136582465,2.286986175,1.555363926,5.095807589,6.183554184,4.146869968,1.170441323,1.489251226,2.711509061,2.286904061,14.20520595,5.42764095
"(4R,5S,6R)-4-Amino-5,6-dihydroxy-2-oxo-7-(phosphonooxy)heptanoic acid",0.274477382,0.153739547,0.198388958,0.539633002,0.542038999,0.083204308,0.1423939,0.127495953,0.310620169,0.080505754,0.215947184,0.19726821,0.102528651,0.114057747,0.102264707,0.133317701
"(4R,6R)-4-Hydroxy-6-{2-[(1R,2R,3S,6R,8aR)-3-hydroxy-2,6-dimethyl-1,2,3,5,6,7,8,8a-octahydro-1-naphthalenyl]ethyl}tetrahydro-2H-pyran-2-one",0.351497379,0.438792795,0.169910215,0.465480092,0.824275877,0.565272337,0.300822276,0.249889611,0.559714888,0.794512096,0.296284896,0.741518558,0.725342611,0.409725098,0.596106829,0.40369204
"(4R,9β,16α)-2,16,20,24,25-Pentahydroxy-9,10,14-trimethyl-4,9-cyclo-9,10-secocholesta-2,5-diene-1,11,22-trione",1.633181065,2.442495548,2.286097512,2.015500777,2.197153077,2.027281694,1.078256204,1.313840339,0.699817848,0.896796273,0.885252111,2.026556934,1.388336708,1.611446764,1.298814779,1.718367337
